Villa Serrano, Chuquisaca
Villa Vaca Guzmán, Chuquisaca
Villa Zudañez, Chuquisaca
Tarvita, Chuquisaca
Yotala, Chuquisaca
Yamparáez, Chuquisaca
Achacachi, La Paz
Achocalla, La Paz
Alto Beni, La Paz
Ancoraimes, La Paz
Apolo, La Paz
Aucapata, La Paz
Ayata, La Paz
Ayo Ayo, La Paz
Batallas, La Paz
Cairoma, La Paz
Cajuata, La Paz
Calacoto, La Paz
Calamarca, La Paz
Caquiaviri, La Paz
Caranavi, La Paz
Catacora, La Paz
Chacarilla, La Paz
Charaña, La Paz
Chúa Cocani, La Paz
Chulumani, La Paz
Chuma, La Paz
Collana, La Paz
Colquencha, La Paz
Colquiri, La Paz
Comanche, La Paz
Combaya, La Paz
Copacabana, La Paz, La Paz
Coripata, La Paz
Coro Coro, La Paz
Coroico, La Paz
Curva, La Paz
Desaguadero, La Paz
El Alto, La Paz, La Paz
Escoma, La Paz
General Juan José Pérez, La Paz
Guanay, La Paz
Guaqui, La Paz
Huatajata, La Paz
Huarina, La Paz
Humanata, La Paz
Ichoca, La Paz
Inquisivi, La Paz
Irupana, La Paz
Ixiamas, La Paz
La Asunta, La Paz
La Paz, La Paz
Laja, La Paz
Licoma Pampa, La Paz
Luribay, La Paz
Malla, La Paz
Mecapaca, La Paz
Mocomoco, La Paz
Nazacara de Pacajes, La Paz
Palca, La Paz
Palos Blancos, La Paz
Papel Pampa, La Paz
Patacamaya, La Paz
Pelechuco, La Paz
Pucarani, La Paz
Puerto Acosta, La Paz
Puerto Carabuco, La Paz
Puerto Pérez, La Paz
Quiabaya, La Paz
Quime, La Paz
San Buenaventura, La Paz, La Paz
San Pedro de Curahuara, La Paz
San Pedro de Tiquina, La Paz
Santiago de Callapa, La Paz
Santiago de Huata, La Paz
Santiago de Machaca, La Paz
Sapahaqui, La Paz
Sica Sica, La Paz
Sorata, La Paz
Tacacoma, La Paz
Tiwanaku, La Paz
Tipuani, La Paz
Tito Yupanqui, La Paz
Umala, La Paz
Viacha, La Paz
Waldo Ballivián, La Paz
Yaco, La Paz
Yanacachi, La Paz
Andamarca, Oruro
Antequera, Oruro
Belén de Andamarca, Oruro
Caracollo, Oruro
Carangas, Oruro
Challapata, Oruro
Chipaya, Oruro
Choquecota, Oruro
Coipasa, Oruro
Corque, Oruro
Cruz de Machacamarca, Oruro
Curahuara de Carangas, Oruro
El Choro, Oruro
Escara, Oruro
Esmeralda, Oruro
Eucaliptus, Oruro
Huachacalla, Oruro
Huanuni, Oruro
Huayllamarca, Oruro
La Rivera, Oruro
Machacamarca, Oruro
Oruro, Oruro
Pampa Aullagas, Oruro
Pazña, Oruro
Sabaya, Oruro
Salinas de Garci Mendoza, Oruro
Santiago de Huari, Oruro
Santuario de Quillacas, Oruro
Todos Santos, Oruro
Toledo, Oruro
Totora, Oruro, Oruro
Turco, Oruro
Poopó, Oruro
Yunguyo del Litoral, Oruro
Bella Flor, Pando
Bolpebra, Pando
Cobija, Pando
Filadelfia, Pando
Ingavi, Pando
Nueva Esperanza, Pando
Porvenir, Pando
Puerto Gonzalo Moreno, Pando
Puerto Rico, Pando
San Lorenzo, Pando
San Pedro, Pando
Santa Rosa del Abuná, Pando
Santos Mercado, Pando
Sena, Pando
Villa Nueva, Pando
Acasio, Potosí
Arampampa, Potosí
Atocha, Potosí
Betanzos, Potosí
Caiza "D", Potosí
Cochas, Potosí
Caripuyo, Potosí
Chaquí, Potosí
Chayanta, Potosí
Chuquihuta, Potosí
Colcha "K", Potosí
Colquechaca, Potosí
Cotagaita, Potosí
Llallagua, Potosí
Llica, Potosí
Mojinete, Potosí
Ocurí, Potosí
Pocoata, Potosí
Porco, Potosí
Potosí, Potosí
Puna, Potosí
Ravelo, Potosí
Sacaca, Potosí
San Agustín, Potosí
San Antonio de Esmoruco, Potosí
San Pablo de Lípez, Potosí
San Pedro de Buena Vista, Potosí
San Pedro de Quemes, Potosí
Tacobamba, Potosí
Tahua, Potosí
Tinguipaya, Potosí
Tomave, Potosí
Toro Toro, Potosí
Tupiza, Potosí
Uncía, Potosí
Urmiri, Potosí
Uyuni, Potosí
Villazón, Potosí
Vitichi, Potosí
Yocalla, Potosí
Ascensión de Guarayos, Santa Cruz
Ayacucho, Santa Cruz
Porongo, Santa Cruz
Boyuibe, Santa Cruz
Buena Vista, Santa Cruz
Cabezas, Santa Cruz
Camiri, Santa Cruz
Charagua, Santa Cruz
Comarapa, Santa Cruz
Concepción, Santa Cruz
Cotoca, Santa Cruz
Cuevo, Santa Cruz
El Puente, Santa Cruz
El Torno, Santa Cruz
General Saavedra, Santa Cruz
Gutiérrez, Santa Cruz
La Guardia, Santa Cruz
Lagunillas, Santa Cruz
Mairana, Santa Cruz
Mineros, Santa Cruz
Montero, Santa Cruz
Moro Moro, Santa Cruz
Okinawa, Santa Cruz
Pailón, Santa Cruz
Pampa Grande, Santa Cruz
Portachuelo, Santa Cruz
Postrer Valle, Santa Cruz
Pucara, Santa Cruz
Puerto Quijarro, Santa Cruz
Puerto Suarez, Santa Cruz
Quirusillas, Santa Cruz
Roboré, Santa Cruz
Saipina, Santa Cruz
Samaipata, Santa Cruz
San Antonio del Lomerío, Santa Cruz
San Carlos, Santa Cruz
San Ignacio, Santa Cruz
San Javier, Santa Cruz
San José, Santa Cruz Municipality
San Julián, Santa Cruz
San Matías, Santa Cruz
San Miguel, Santa Cruz
San Rafael, Santa Cruz
San Ramón, Santa Cruz
Santa Cruz de la Sierra, Santa Cruz
Santa Rosa del Sara, Santa Cruz
Trigal, Santa Cruz
Urubichá, Santa Cruz
Vallegrande, Santa Cruz
Valle Grande, Santa Cruz
Warnes, Santa Cruz
Yapacaní, Santa Cruz
Bermejo, Tarija
Caraparí, Tarija
El Puente, Tarija
Entre Ríos, Tarija
Padcaya, Tarija
San Lorenzo, Tarija
Tarija, Tarija
Uriondo, Tarija
Villamontes, Tarija
Yacuiba, Tarija
Yunchará, Tarija
